wbid,R1 rpm,R2 rpm,R3 rpm
WBGene00007405,3.3763814202620375,2.048345039625235,1.9820963840615664
WBGene00007406,0.0,0.10780763366448604,0.1651746986717972
WBGene00007407,0.0,0.0,0.0
WBGene00007408,0.11642694552627715,0.0,0.0
WBGene00007409,0.0,0.43123053465794414,0.1651746986717972
WBGene00007410,0.0,0.0,0.0
WBGene00007411,0.0,0.0,0.0
WBGene00007412,35.393791439988256,24.6879481091673,29.235921664908105
WBGene00007413,42.37940817156488,25.334793911154218,34.686686721077415
WBGene00007414,0.11642694552627715,0.21561526732897207,0.3303493973435944
WBGene00007415,0.0,0.8624610693158883,0.1651746986717972
WBGene00007416,0.5821347276313857,0.7546534356514023,0.0
WBGene00007417,1.0478425097364945,1.5093068713028046,0.4955240960153916
WBGene00007418,0.0,0.0,0.0
WBGene00007419,0.6985616731576629,0.3234229009934581,0.6606987946871888
WBGene00007420,0.11642694552627715,0.0,0.0
WBGene00007421,0.0,0.0,0.4955240960153916
WBGene00007422,0.4657077821051086,0.7546534356514023,1.1562228907025804
WBGene00007423,0.0,0.0,0.0
WBGene00007424,0.2328538910525543,0.10780763366448604,0.4955240960153916
WBGene00007425,0.0,0.0,0.1651746986717972
WBGene00007426,0.0,0.0,0.0
WBGene00007427,0.0,0.3234229009934581,0.1651746986717972
WBGene00007428,53.32354105103494,31.264213762700948,42.449897558651884
WBGene00007429,5.821347276313857,2.802998475276637,6.772162645543686
WBGene00007430,1.7464041828941572,0.6468458019869162,0.825873493358986
WBGene00007431,0.11642694552627715,0.43123053465794414,0.0
WBGene00007432,0.0,0.10780763366448604,0.0
WBGene00007433,134.1238412462713,71.90769165421219,109.51082521940154
WBGene00007434,15.13550291841603,6.791880920862621,11.562228907025805
WBGene00007435,5.122785603156195,2.263960306954207,3.3034939734359443
WBGene00007436,23.28538910525543,14.338415277376642,16.68264456585152
WBGene00007437,0.0,0.0,0.1651746986717972
WBGene00007438,0.0,0.43123053465794414,0.4955240960153916
WBGene00007439,0.0,0.0,0.0
WBGene00007440,0.0,0.0,0.0
WBGene00007441,0.0,0.0,0.0
WBGene00007442,0.0,0.0,0.0
WBGene00007443,16.76548015578391,6.468458019869162,9.084608426948847
WBGene00007444,18.511884338678065,13.58376184172524,13.213975893743777
WBGene00007445,49.13217101208896,34.498442772635535,36.668783105138985
WBGene00007446,0.34928083657883147,5.282574049559816,3.799018069451336
WBGene00007447,0.11642694552627715,0.10780763366448604,0.9910481920307832
WBGene00007448,0.2328538910525543,0.5390381683224301,0.4955240960153916
WBGene00007449,1.9792580739467116,1.5093068713028046,1.8169216853897692
WBGene00007450,0.0,0.0,0.0
WBGene00007451,0.0,0.0,0.3303493973435944
WBGene00007452,0.2328538910525543,0.0,0.825873493358986
WBGene00007453,0.34928083657883147,0.0,0.0
WBGene00007454,5.006358657629917,3.3420366435990667,3.964192768123133
WBGene00007455,19.094019066309453,7.115303821856079,20.646837333974652
WBGene00007456,0.0,0.0,0.0
WBGene00007457,1.1642694552627715,6.576265653533648,1.8169216853897692
WBGene00007458,2.328538910525543,2.0483450396252345,1.9820963840615664
WBGene00007459,0.34928083657883147,0.3234229009934581,0.4955240960153916
WBGene00007460,3.143527529209483,1.2936916039738324,1.6517469867179722
WBGene00007461,0.9314155642102172,0.6468458019869162,1.9820963840615666
WBGene00007462,0.0,0.0,0.3303493973435944
WBGene00007463,186.39953978756972,129.15354513005428,155.0990420528176
WBGene00007464,22.353973541045214,14.230607643712158,17.6736927578823
WBGene00007465,0.0,0.21561526732897207,0.0
WBGene00007466,0.0,0.0,0.0
WBGene00007467,0.0,0.0,0.0
WBGene00007468,0.11642694552627715,0.0,0.0
WBGene00007469,0.0,0.0,0.0
WBGene00007470,0.0,0.0,0.0
WBGene00007471,0.2328538910525543,0.0,0.1651746986717972
WBGene00007472,0.2328538910525543,0.0,0.825873493358986
WBGene00007473,0.0,0.0,0.1651746986717972
WBGene00007474,0.34928083657883147,0.0,0.6606987946871888
WBGene00007475,249.15366342623312,189.9570505168244,284.5960058115066
WBGene00007476,3.842089202367146,4.204497712914955,5.285590357497511
WBGene00007478,0.0,1.0780763366448602,0.4955240960153916
WBGene00007479,1.8628311284204342,0.5390381683224301,0.6606987946871888
WBGene00007480,1.513550291841603,1.9405374059607488,0.6606987946871888
WBGene00007481,0.0,0.0,0.0
WBGene00007482,0.0,0.43123053465794414,0.4955240960153916
WBGene00007483,0.6985616731576629,0.0,0.0
WBGene00007484,0.0,0.10780763366448604,0.3303493973435944
WBGene00007485,0.81498861868394,0.5390381683224301,0.6606987946871888
WBGene00007486,0.2328538910525543,0.6468458019869162,0.3303493973435944
WBGene00007487,0.0,0.10780763366448604,0.0
WBGene00007488,8.1498861868394,6.468458019869162,8.093560234918064
WBGene00007489,1.9792580739467116,5.066958782230843,7.928385536246266
WBGene00007490,5.472066439735026,10.133917564461687,8.919433728277049
WBGene00007492,27.36033219867513,13.583761841725241,19.655789141943867
WBGene00007493,30.73671361893717,17.68045192097571,24.28068070475419
WBGene00007494,0.11642694552627715,0.0,0.1651746986717972
WBGene00007495,0.0,0.7546534356514023,0.1651746986717972
WBGene00007496,0.34928083657883147,0.0,0.0
WBGene00007497,0.0,0.0,0.0
WBGene00007499,10.59485204289122,9.163648861481313,9.084608426948847
WBGene00007500,49.36502490314151,25.766024445812164,37.825005995841565
WBGene00007501,54.604237451823984,37.19363361424768,47.735487916149395
WBGene00007502,0.11642694552627715,0.7546534356514022,0.3303493973435944
WBGene00007503,0.0,0.9702687029803744,0.9910481920307832
WBGene00007504,25.963208852359802,24.25671757450936,36.33843370779539
WBGene00007505,289.78666741490383,210.22488564574778,280.46663834471167
WBGene00007506,0.9314155642102172,0.3234229009934581,0.0
WBGene00007507,0.11642694552627715,0.43123053465794414,0.1651746986717972
WBGene00007508,0.4657077821051086,0.6468458019869162,0.0
WBGene00007509,0.0,0.10780763366448604,0.3303493973435944
WBGene00007511,0.0,0.0,0.0
WBGene00007512,0.5821347276313857,3.3420366435990667,0.9910481920307832
WBGene00007513,14.786222081837199,7.223111455520564,9.580132522964238
WBGene00007514,50.99500214050939,36.870210713254224,45.58821683341603
WBGene00007515,0.9314155642102172,0.0,0.0
WBGene00007516,0.11642694552627715,0.21561526732897207,1.1562228907025804
WBGene00007517,0.0,0.0,0.3303493973435944
