geneID,median_adult Ce,mean_adult Ce
WBGene00000203,82.5354,76.3136
WBGene00000204,89.3361,81.0157
WBGene00000205,44.7984,43.0594
WBGene00000206,280.01,261.687
WBGene00000207,295.925,282.857
WBGene00000208,38.47,40.908
WBGene00000209,470.919,465.159
WBGene00000210,290.533,268.244
WBGene00000211,4.46427,4.87648
WBGene00000212,8.69892,9.65555
WBGene00000213,11.4926,12.7318
WBGene00000214,2077.55,2321.29
WBGene00000215,327.536,353.664
WBGene00000216,907.531,887.349
WBGene00000217,195.065,210.88
WBGene00000218,559.393,673.895
WBGene00000219,1090.05,1408.56
WBGene00000220,1.82705,4.60617
WBGene00000221,49.8155,61.8821
WBGene00000222,5.99685,7.11691
WBGene00000223,97.3672,88.6703
WBGene00000224,17.5007,19.9923
WBGene00000225,10.0265,10.2968
WBGene00000226,22.9504,22.196
WBGene00000227,9.90891,10.4185
WBGene00000228,37.1254,46.1764
WBGene00000229,1141.86,1262.02
WBGene00000230,630.454,605.835
WBGene00000231,103.439,111.107
WBGene00000232,2.31993,3.02825
WBGene00000233,6.97271,9.95862
WBGene00000235,267.855,250.851
WBGene00000236,87.6604,90.0689
WBGene00000237,5.83098,6.19687
WBGene00000238,3.53737,4.02817
WBGene00000239,9.10896,10.9908
WBGene00000240,49.6848,52.9418
WBGene00000241,0.228412,0.319674
WBGene00000242,0.251542,0.38862
WBGene00000244,0.450164,0.5412
WBGene00000245,19.2718,19.3402
WBGene00000246,1.73824,2.13156
WBGene00000247,31.3932,37.6276
WBGene00000248,34.5545,44.2657
WBGene00000249,95.4928,96.5547
WBGene00000250,48.1666,49.9741
WBGene00000251,0.38223,0.829009
WBGene00000252,0.931242,2.24381
WBGene00000253,4.29579,4.96476
WBGene00000254,91.0869,94.2616
WBGene00000255,0.964854,1.11003
WBGene00000256,27.9187,41.4547
WBGene00000257,42.3045,46.0504
WBGene00000259,17.0419,16.5721
WBGene00000262,8.4489,9.84674
WBGene00000263,749.139,1000.27
WBGene00000264,20.439,23.7158
WBGene00000265,19.8637,20.6389
WBGene00000266,13.9294,23.3851
WBGene00000267,2.16688,2.65078
WBGene00000268,48.6053,50.8768
WBGene00000269,15.6548,17.4301
WBGene00000270,13.2628,14.1833
WBGene00000271,28.2344,29.0712
WBGene00000272,1.04403,1.44615
WBGene00000273,232.385,318.719
WBGene00000274,15.4966,14.7412
WBGene00000275,76.6281,77.6882
WBGene00000276,61.7319,72.7279
WBGene00000277,41.6467,53.5782
WBGene00000279,2.48913,2.4399
WBGene00000280,0.964678,1.14601
WBGene00000281,35.3205,41.5529
WBGene00000282,123.609,119.645
WBGene00000283,21.9984,21.5667
WBGene00000284,1.76202,2.66098
WBGene00000285,7.08477,8.06343
WBGene00000286,6.92664,8.10086
WBGene00000287,2.60222,3.41087
WBGene00000288,2.69586,3.7864
