Gene,Start
WBGene00018547,2
WBGene00018641,2
WBGene00018923,2
WBGene00006382,2
WBGene00006369,2
WBGene00006364,2
WBGene00005562,2
WBGene00018869,2
WBGene00016735,2
WBGene00006349,2
WBGene00018854,2
WBGene00018812,2
WBGene00018787,2
WBGene00018782,2
WBGene00004508,2
WBGene00004728,2
WBGene00016801,2
WBGene00006261,2
WBGene00006201,2
WBGene00004735,2
WBGene00018710,2
WBGene00018700,2
WBGene00018694,2
WBGene00016855,2
WBGene00016860,2
WBGene00004751,2
WBGene00016903,2
WBGene00006604,2
WBGene00000010,2
WBGene00016103,2
WBGene00012348,2
WBGene00008755,2
WBGene00008783,2
WBGene00012461,2
WBGene00008809,2
WBGene00008822,2
WBGene00008824,2
WBGene00012421,2
WBGene00012394,2
WBGene00008932,2
WBGene00011829,2
WBGene00008945,2
WBGene00012308,2
WBGene00008975,2
WBGene00008979,2
WBGene00012220,2
WBGene00009242,2
WBGene00011940,2
WBGene00009318,2
WBGene00012524,2
WBGene00008740,2
WBGene00012555,2
WBGene00012631,2
WBGene00012969,2
WBGene00012948,2
WBGene00008366,2
WBGene00012908,2
WBGene00012907,2
WBGene00012901,2
WBGene00012875,2
WBGene00008389,2
WBGene00008402,2
WBGene00012812,2
WBGene00012767,2
WBGene00008441,2
WBGene00012756,2
WBGene00012697,2
WBGene00012674,2
WBGene00012664,2
WBGene00012632,2
WBGene00011910,2
WBGene00011803,2
WBGene00008250,2
WBGene00010061,2
WBGene00010849,2
WBGene00010843,2
WBGene00010006,2
WBGene00010793,2
WBGene00010776,2
WBGene00010060,2
WBGene00010741,2
WBGene00010721,2
WBGene00010686,2
WBGene00009408,2
WBGene00010673,2
WBGene00010146,2
WBGene00010537,2
WBGene00010448,2
WBGene00010416,2
WBGene00010268,2
WBGene00010274,2
WBGene00010306,2
WBGene00010850,2
WBGene00010003,2
WBGene00011018,2
WBGene00011044,2
WBGene00009440,2
WBGene00009531,2
WBGene00011646,2
WBGene00011630,2
WBGene00009542,2
WBGene00011613,2
WBGene00011579,2
WBGene00009594,2
WBGene00009619,2
WBGene00011429,2
WBGene00009653,2
WBGene00011407,2
WBGene00011385,2
WBGene00009661,2
WBGene00011101,2
WBGene00009862,2
WBGene00009920,2
WBGene00008309,2
WBGene00012984,2
WBGene00006670,2
WBGene00015028,2
WBGene00006812,2
WBGene00015266,2
WBGene00006870,2
WBGene00015194,2
WBGene00015158,2
WBGene00006923,2
WBGene00015057,2
WBGene00006936,2
WBGene00006985,2
WBGene00013720,2
WBGene00014243,2
WBGene00014068,2
WBGene00007054,2
WBGene00013999,2
WBGene00007089,2
WBGene00007162,2
WBGene00007178,2
WBGene00013859,2
WBGene00006807,2
WBGene00006797,2
