wbid,rep 0,rep 1,rep 2
WBGene00019466,4.9620617827673605,4.047093999485667,3.444526285814009
WBGene00000833,4.9620617827673605,5.155860323460925,3.5981553924582963
WBGene00014015,2.0062481454823082,2.220890642349947,1.7853319340557119
WBGene00011964,2.1015969724915036,2.155669093880814,2.154041790002
WBGene00000182,5.343457090804142,6.3950697443744495,6.7629149893306035
WBGene00001923,5.677177985336325,4.503644838769596,2.3383967179751446
WBGene00012552,4.9620617827673605,5.090638774991793,2.5842032886060036
WBGene00020894,4.485317647721384,4.764531032646128,4.6735591389683036
WBGene00001032,2.0062481454823082,2.0904475454116804,2.27694507531743
WBGene00000567,1.863224904968515,2.0089206098252648,2.123315968673143
WBGene00077453,4.77136412874897,3.9166509025474006,2.123315968673143
WBGene00206362,2.4829922805282845,2.318722965053646,1.4780737207671382
WBGene00017920,2.8643875885650654,2.18827986811538,1.3858962567805662
WBGene00017700,2.149271385996101,3.0687707724486737,2.645654931263718
WBGene00006808,2.3955891891031857,2.1828447390762875,1.7341222318409517
WBGene00003967,2.991519357910656,2.8948466431976536,1.7136383509550455
WBGene00005008,2.292294626509894,2.2861121908190793,2.522751645948289
WBGene00002980,2.76903876155587,2.4817768362264783,1.8467835767134264
WBGene00021629,2.76903876155587,2.9057169012758415,3.2448084471764367
WBGene00018438,4.3899688207121885,3.9818724510165335,2.645654931263718
WBGene00010641,2.0539225589869057,2.873106127041275,2.2462192539885724
WBGene00018242,4.103922339684604,4.438423290300465,3.7210586777737253
WBGene00013395,3.2934573101064437,3.851429354078268,3.075816429867721
WBGene00018743,4.103922339684604,3.786207805609135,3.475252107142867
WBGene00006377,12.542293529998386,9.721368716300226,9.436061444941194
WBGene00021821,3.436480550620237,4.275369419127632,2.645654931263718
WBGene00002018,1.9108993184731127,2.5143876104610445,1.2937187927939942
WBGene00000896,2.8643875885650654,3.362267740559772,2.215493432659715
WBGene00006439,6.678340668932875,4.992806452288093,3.6288812137871536
WBGene00015468,2.0062481454823082,2.025225996942548,2.0925901473442856
WBGene00000070,3.055085242583456,4.047093999485667,4.120494355048871
WBGene00012180,3.3411317236110416,2.954633062627691,2.0618643260154284
WBGene00003149,1.7202016644547222,2.220890642349947,1.447347899438281
WBGene00006529,3.2457828966018463,2.416555287757345,2.5842032886060036
WBGene00020812,2.0062481454823082,2.318722965053646,1.7853319340557119
WBGene00017659,2.387643453519089,2.4491660619919116,3.1372680725254356
WBGene00016489,3.1504340695926514,2.8078845785721422,1.969686862028856
WBGene00006580,2.7213643480512726,2.546998384695611,2.891461501894577
WBGene00019664,2.6498527277943764,2.5877618524888186,1.6931544700691397
WBGene00001553,11.509347904065466,10.058346716724067,6.977995738632606
WBGene00000914,2.282759743808974,2.3774223586758656,1.9389610406999989
WBGene00016121,24.2701992521294,16.210912788978945,9.190254874310334
WBGene00021317,3.436480550620237,4.242758644893065,3.567429571129439
WBGene00000406,4.103922339684604,3.753597031374569,2.983638965881149
