wbid,rep 0,rep 1,rep 2
WBGene00019466,3.6560293655416864,3.6400659289815613,2.9768234661637853
WBGene00000833,2.5380375531174586,3.6400659289815613,3.4016219189040426
WBGene00014015,1.270980165703333,2.045018589252556,1.5717208917152423
WBGene00011964,2.239906403137664,2.7468394187333183,2.4866714053096426
WBGene00000182,6.152877746622462,8.68041552252522,6.407887892142786
WBGene00001923,1.5691113156831271,2.300226163609197,2.2252569728540994
WBGene00012552,2.910701490592201,3.7676697161598818,3.924450783815128
WBGene00020894,3.432431003056841,6.383547353315451,5.166169337978956
WBGene00001032,1.7181768906730241,3.1296507802682796,2.0945497566263285
WBGene00000567,2.053574434400293,3.0977498334736993,2.241595374882571
WBGene00077453,1.8672424656629212,2.236424270020037,2.4866714053096426
WBGene00206362,1.7181768906730241,2.045018589252556,1.5717208917152423
WBGene00017920,1.4200457406932299,1.5346034405392746,1.0488920268041566
WBGene00017700,3.022500671834624,3.6719668757761417,3.3362683107901567
WBGene00006808,1.6684883656763894,2.146038254102061,2.0727652205883684
WBGene00003967,1.6063777094306013,1.4708015469501143,1.342983263316642
WBGene00005008,2.3889719781275613,3.9590753969273624,2.6827322296513
WBGene00002980,1.7181768906730241,3.1296507802682796,2.4213177971957567
WBGene00021629,3.1342998530770467,4.134530604297554,3.4342987229609854
WBGene00018438,1.7554432844204984,2.045018589252556,2.0945497566263285
WBGene00010641,2.0163080406528184,2.651136578349578,1.604397695772185
WBGene00018242,3.8050949405315837,4.788500013586446,4.185865216270671
WBGene00013395,5.072152327945709,5.107509481532246,6.081119851573357
WBGene00018743,3.581496578046738,5.011806641148507,5.002785317694243
WBGene00006377,6.674607259087102,7.308674810358275,9.479507473495415
WBGene00021821,1.7181768906730241,2.236424270020037,2.878793053992957
WBGene00002018,1.8672424656629212,2.1726223764308767,1.375660067373585
WBGene00000896,1.4945785281881785,2.5554337379658376,2.0618729525693853
WBGene00006439,2.5753039468649326,3.1137003068709896,2.617378621537414
WBGene00015468,1.5318449219356527,2.013117642457976,2.0945497566263285
WBGene00000070,3.730562153036635,5.107509481532246,3.6630363513595854
WBGene00012180,1.8672424656629212,1.9174148020742359,1.833135324170785
WBGene00003149,1.270980165703333,2.045018589252556,1.6370744998291278
WBGene00006529,2.4262383718750353,2.8106413123224785,1.6697513038860707
WBGene00020812,1.4200457406932299,1.8536129084850756,1.7024281079430137
WBGene00017659,2.239906403137664,2.5235327911712577,2.6827322296513
WBGene00016489,1.5691113156831271,1.9174148020742359,2.159903364740214
WBGene00006580,2.239906403137664,3.608164982186981,2.878793053992957
WBGene00019664,1.2337137719558586,1.5186529671419844,1.179599243031928
WBGene00001553,5.208795771686448,6.521784789425319,5.8850590272317
WBGene00000914,1.7107236119235294,2.5107724124534254,2.055337591757997
WBGene00016121,8.277062190228495,9.541741085978881,8.335819331502414
WBGene00021317,4.401357240491171,3.480561195008661,5.754351811003929
WBGene00000406,2.2026400093901897,3.2572545674466,2.9441466621068426
WBGene00010337,3.506963790551789,4.469490545640645,3.859097175701242
WBGene00010550,3.8796277280265326,5.554122736656368,4.610663669010928
WBGene00008880,2.090840828147767,2.7468394187333183,2.2906105809679853
WBGene00001562,2.4510826343733525,3.8633725565436223,3.935343051834108
