wbid,rep 0,rep 1,rep 2
WBGene00000940,11.350433192383445,7.536446842584275,6.517108418699745
WBGene00077582,9.538805479208733,5.808075808152254,5.072994816243449
WBGene00001735,3.1504340695926514,3.394878514794338,2.27694507531743
WBGene00001925,4.2946199937029945,4.503644838769596,2.0311385046865706
WBGene00010414,3.4841549641248344,2.8078845785721422,1.969686862028856
WBGene00020035,4.437643234216786,3.5579323859671703,2.27694507531743
WBGene00021960,21.362060028348942,15.199978787707385,10.357836084806916
WBGene00008140,6.773689495942071,6.003740453559653,3.075816429867721
WBGene00009451,11.112061124860453,12.362841429300106,6.885818274646033
WBGene00001922,26.510896686845488,27.722516093780897,9.25170651696805
WBGene00012230,2.451209338191889,2.0904475454116804,1.0479122221631352
WBGene00015641,6.106247706877704,4.699309484176996,2.6763807525925754
WBGene00249815,11.255084365374248,9.94964413594219,6.117672741424599
WBGene00017122,11.922526154438614,8.156051553041037,4.919365709599162
WBGene00013160,21.40973444185354,14.384709431843225,11.46396565264578
WBGene00022368,2.9597364155742607,2.8078845785721422,1.6624286487402824
WBGene00001875,7.202759217483449,7.112506777534912,3.567429571129439
WBGene00022124,3.817875858657018,3.786207805609135,1.9082352193711412
WBGene00002226,2.387643453519089,3.4274892890289044,1.8467835767134264
WBGene00001914,4.485317647721384,4.307980193362199,1.8467835767134264
WBGene00001924,8.299270728089196,6.982063680596646,2.7685582165791476
WBGene00009267,4.77136412874897,4.1123155479548,2.4613000032905736
WBGene00017435,8.632991622621379,6.819009809423814,4.0590427123911565
WBGene00006703,8.895200896896664,9.330039425485428,5.119083548236735
WBGene00044180,3.913224685666213,4.699309484176996,2.399848360632859
WBGene00006817,5.724852398840922,5.351524968868324,3.9361394270757275
WBGene00020286,3.5159379064612346,3.231824643621506,2.010654623800668
WBGene00001890,12.06554939495241,11.351907428028547,5.933317813451454
WBGene00022315,9.491131065704135,9.330039425485428,6.45565677604203
WBGene00001886,12.494619116493787,11.058410459917448,6.0254952774380275
WBGene00001892,7.965549833557011,7.30817142294231,2.645654931263718
WBGene00008339,4.151596753189201,3.802513192726418,2.215493432659715
WBGene00000275,3.1504340695926514,2.970938449744974,2.215493432659715
WBGene00021015,8.77601486313517,8.12344077880647,3.751784499102583
WBGene00001928,3.436480550620237,3.0687707724486737,1.0479122221631352
WBGene00001935,21.838804163394922,19.374157889731887,8.975174125008333
WBGene00020695,3.198108483097249,3.117686933800523,1.8467835767134264
WBGene00008330,7.631828939024827,7.112506777534912,3.751784499102583
WBGene00001884,7.536480112015632,8.743045489263233,5.595333778834024
WBGene00010082,2.6736899345466747,3.0687707724486737,2.0925901473442856
WBGene00001930,22.2201994714317,23.580947765990956,7.838318735840611
WBGene00013406,3.7225270316478225,4.373201741831331,2.154041790002
WBGene00018427,1.6248528374455269,2.3839445135227786,1.0479122221631352
WBGene00001929,29.180663843102952,29.287833257040084,10.450013548793486
WBGene00018426,3.698689824895524,4.283522112686274,2.5381145566127175
WBGene00007785,5.343457090804141,5.547189614275722,2.8300098592368625
WBGene00022830,4.580666474730579,4.764531032646128,3.3830746431562946
WBGene00013556,19.741129969192624,15.06953569076912,12.477917756498073
